trail_id,name,lat,lon
132169,Never End Trail (695),46.83527,9.215974
69078,Sent - Vastur (retour),46.816605,10.333814
132196,Rundwanderung: Trin Porclis,46.827961,9.349487
535876,Urdental Trail,46.767006,9.62047
848634,Motta Naluns – Alp Laret – Val Tasna – Scuol,46.810951,10.271699
421217,Seenwanderung über das Rothorn nach Lenzerheide,46.777313,9.679178
132919,Orte der Magie - Lumbrein,46.68325,9.136481
52725,Fuorcla Salet,46.868164,10.423014
481559,FLI-WIW - Falera dorp,46.80032,9.232121
129889,Lai da Vons,46.56942,9.368225
163572,Helsana Trail Chur: Mittlerer Trail,46.870216,9.544077
163538,Schneeschuhwanderung Cavaglia,46.364414,10.043879
691516,Bella Vista Brigels (Gravel),46.770416,9.067404
229755,Wanderung zum Lai Tigiel,46.595657,9.600105
129870,"Kindererlebnisweg «Zwergenwald», Andeer",46.602772,9.422119
697132,FlI-HDW - Stadswandeling Chur,46.852566,9.5287
129936,Curtginatsch,46.603409,9.426332
19182,GPS Albula-Tour,46.728092,9.557647
129812,Feldis - Dreibündenstein - Rundwanderung,46.793915,9.432827
563585,"Schanfigger Höhenweg, 3. Etappe, Arosa - Sapün",46.783337,9.678915
613201,FLI-RACE - Flims - Ilanz - Valendas,46.82642,9.290766
23697,Trin Mulin – Ruinaulta – Valendas,46.832794,9.344321
132192,Panorama Höhenwanderung: Crap Sogn Gion - Fuorcla - Alp Nagens,46.8354,9.215342
129968,Schlittelweg Nufenen,46.545822,9.241062
167118,Wanderung Hängebrücke Val da Tersnaus,46.700565,9.183476
132859,"Um Su Rundtour, Lumbrein",46.683319,9.1357
84011,Schlittelweg Brün,46.778431,9.305394
935513,Alp Rona,46.936611,9.678291
17622,Kronenjoch,46.909584,10.259867
269640,viaSpluga: von Zillis nach Andeer,46.634876,9.444973
80696,Savognin - Tinizong - Savognin (Kinderwagengerecht),46.595703,9.594994
63575,Route Preda – Preda,46.588375,9.777201
132923,Kartitscha - Miraniga - Meierhof,46.736214,9.117605
1012548,Gfroren Horn,46.726353,9.847805
487910,E-Bike: Sapün Runde,46.782887,9.681864
362616,Corviglia Attack,46.484585,9.836064
132520,Panoramaweg (Gotschnagrat - Davos Platz),46.858871,9.847196
159453,Samnaun-Plan – Tschischanaderet (W4),46.956284,10.383099
979135,SNOOC - Schlittelweg Mompé Medel mit Wander-Aufstieg,46.678757,8.841309
610984,Fürhörnli,46.760159,9.557338
83356,Sils - Lej Sgrischus - Val Fex,46.422249,9.783692
132209,Familientour im Flimserwald,46.823116,9.277311
13550,206 Rofna Lantsch,46.691856,9.558716
166297,Bahnentour: Vorab Trail,46.834244,9.281226
50154,Sulzfluh 2817 m,46.9743,9.830432
935509,Alp Valpun,46.928635,9.771778
717178,Tschiertschen - Uf Wald - Erdpyramiden - Molinis (12),46.818386,9.606512
48125,Stampa - Soglio - Castasegna,46.343403,9.590594
76618,Radons - Alp Schmorras  (Kinderwagengerecht),46.560383,9.555269
